,pollution,dew,temp,press,wnd_dir,wnd_spd,snow,rain
55,145.43,33.66,21.36,1024,225.96,0.72,11,0
56,182.87,39.26,20.99,1024,210.9,0.69,12,0
57,130.11,37.33,21.49,1023,234.07,0.77,13,0
58,116.76,39.25,20.91,1023,217.72,0.72,15,0
59,165.44,48.03,21.5,1022,111.9,0.69,16,0
60,226.97,63.66,19.29,1021,183.2,0.7,17,0
61,137.52,47.04,20.04,1020,207.01,0.68,19,0
62,192.78,52.77,19.03,1020,123.34,0.69,20,0
63,164.67,57.07,18.52,1020,130.65,0.71,21,0
64,190.12,55.14,19.29,1020,138.05,0.69,22,0
65,146.28,51.13,21.34,1020,246.52,0.69,23,0
66,81.1,28.44,22.19,1021,286.98,0.78,24,0
67,57.99,15.28,22.02,1022,283.79,0.79,25,0
68,89.8,22.24,21.4,1022,255.37,0.78,26,0
69,134.37,37.48,20.48,1023,263.15,0.71,27,0
70,134.94,48.4,20.04,1023,244.51,0.66,0,0
71,129.37,55.4,20.06,1023,212.14,0.71,0,0
72,70.19,76.83,20.37,1023,223.41,0.73,0,0
73,77.8,76.79,19.03,1023,275.99,0.72,0,0
74,83.39,81.21,15.79,1024,292.95,0.78,0,0
75,78.64,73.1,15.99,1024,287.44,0.81,0,0
76,77.98,62.8,16.75,1025,271.04,0.82,0,0
77,76.32,40.9,18.97,1026,248.65,0.81,0,0
78,87.29,36.63,20.86,1027,263.06,0.79,0,0
79,102.12,49.54,19.79,1027,248.11,0.77,0,0
80,183.72,63.25,20.47,1028,235.42,0.7,0,0
81,162.63,63.83,21.76,1029,283.13,0.71,0,0
82,80.26,44.56,22.12,1030,261.71,0.8,0,0
83,75.37,41.99,20.83,1031,257.05,0.77,0,0
84,138.64,59.37,18.74,1030,246.02,0.69,0,0
85,142.14,60.93,19.29,1030,272.84,0.73,0,0
86,128.87,58.88,19.62,1030,259.72,0.73,0,0
87,130.16,57.55,19.91,1030,200.18,0.72,0,0
88,126.69,56.64,20.13,1031,282.65,0.73,0,0
89,134.4,56.61,19.59,1032,299.46,0.71,0,0
90,158.73,69.35,18.74,1032,242.95,0.7,0,0
91,154.39,97.69,14.17,1033,126.35,0.68,0,0
92,193.86,89.11,15.77,1034,199.33,0.68,0,0
93,141.52,88.57,14.34,1034,294.51,0.67,0,0
94,154.6,81.18,15.22,1035,272.51,0.7,0,0
95,190.0,85.46,14.5,1035,131.51,0.68,0,0
96,151.88,83.64,14.39,1035,74.31,0.7,0,0
97,207.07,74.03,15.71,1035,236.83,0.72,0,0
98,136.76,57.58,17.45,1035,243.19,0.78,0,0
99,104.71,50.39,17.74,1035,270.63,0.77,0,0
100,135.87,53.89,18.12,1035,254.76,0.76,0,0
101,110.5,49.04,19.03,1034,248.57,0.8,0,0
102,100.5,44.8,19.7,1035,249.57,0.82,0,0
103,102.94,46.57,19.4,1034,266.65,0.75,0,0
104,154.21,53.14,19.28,1035,250.27,0.73,0,0
105,135.99,46.36,19.57,1035,255.83,0.75,0,0
106,109.86,49.39,19.62,1035,251.44,0.8,0,0
107,84.88,42.87,19.81,1035,193.85,0.78,0,0
108,145.92,75.29,17.17,1034,91.29,0.73,0,0
109,188.04,72.55,18.34,1032,118.37,0.66,0,0
110,147.21,65.46,20.36,1032,239.08,0.74,0,0
111,97.48,48.5,19.69,1031,257.43,0.78,0,0
112,110.77,53.08,18.15,1031,154.25,0.65,0,0
113,127.38,56.33,18.79,1031,100.52,0.7,0,0
114,106.6,69.72,17.13,1032,107.04,0.75,0,0
115,75.7,71.58,16.6,1033,257.88,0.75,0,0
116,77.02,76.52,17.24,1033,253.22,0.8,0,0
117,73.52,83.45,14.21,1033,290.61,0.71,0,0
118,90.33,73.09,16.1,1034,295.06,0.7,0,0
119,101.14,69.58,16.96,1033,298.47,0.73,0,0
120,95.9,65.54,17.97,1033,274.63,0.76,0,0
121,69.48,41.01,22.09,1033,260.69,0.83,0,0
122,73.94,52.02,21.33,1034,257.84,0.85,0,0
123,81.46,42.42,23.81,1033,267.49,0.76,0,0
124,65.58,46.74,23.49,1033,284.27,0.77,0,0
125,71.96,35.76,22.26,1033,292.67,0.79,0,0
126,70.46,37.62,21.19,1033,274.27,0.81,0,0
127,89.76,29.87,20.84,1034,284.52,0.77,0,0
128,92.08,34.91,21.42,1034,280.25,0.83,0,0
129,86.43,31.7,21.32,1035,278.07,0.81,0,0
130,129.18,40.92,20.04,1035,273.98,0.72,0,0
131,185.61,41.46,20.96,1035,266.07,0.74,0,0
132,196.51,43.91,20.57,1034,218.07,0.67,0,0
133,151.14,30.61,21.7,1033,115.17,0.75,0,0
134,64.75,65.19,19.94,1033,94.23,0.87,0,0
135,106.03,72.55,20.25,1033,205.45,0.73,0,0
136,51.23,49.41,21.22,1033,278.07,0.86,0,0
137,73.96,52.54,21.92,1033,272.53,1.16,0,0
138,97.63,52.99,23.33,1033,278.52,1.25,0,0
139,81.32,50.71,24.25,1034,262.32,1.37,0,0
140,81.22,48.68,23.97,1035,264.41,1.03,0,0
141,135.84,41.57,24.17,1034,254.86,0.83,0,0
142,113.8,44.33,25.75,1035,266.76,0.9,0,0
143,76.54,46.21,26.25,1035,230.26,0.78,0,0
144,84.08,48.0,26.5,1035,197.64,0.73,0,0
145,217.83,49.89,26.92,1035,245.8,0.64,0,0
146,157.27,45.56,28.11,1036,93.77,0.79,0,0
147,105.25,48.21,26.49,1036,290.55,1.33,0,0
148,53.09,51.38,25.24,1035,270,1.78,0,0
149,66.05,48.05,27.05,1035,270.41,1.26,0,0
150,144.3,60.05,26.66,1035,286.35,0.81,0,0
151,99.7,46.37,25.55,1036,229.94,0.62,0,0
152,142.7,48.18,24.62,1036,278.49,0.69,0,0
153,65.51,39.82,25.48,1036,267.99,0.64,0,0
154,71.34,41.06,24.19,1036,288.63,0.73,0,0
155,57.19,41.4,25.84,1036,289.53,0.98,0,0
156,65.7,40.57,26.15,1035,281.41,1.1,0,0
157,66.87,37.81,27.2,1034,286.37,0.91,0,0
158,97.2,46.24,25.21,1033,273.93,0.49,0,0
159,97.24,38.37,26.01,1032,291.45,0.94,0,0
160,58.1,31.39,26.42,1032,281.02,1.37,0,0
161,62.34,32.98,27.09,1032,282.68,1.03,0,0
162,72.87,34.47,28.25,1032,277.9,1.18,0,0
163,101.38,44.39,27.63,1033,222.92,1.33,0,0
164,134.47,58.54,23.09,1032,154.75,1.76,0,0
165,113.58,63.75,24.55,1032,198.02,1.53,0,0
166,111.76,64.61,26.36,1032,264.02,1.37,0,0
167,57.28,55.71,27.51,1032,315.55,1.72,0,0
168,65.63,52.44,28.13,1031,284.75,1.42,0,0
169,61.03,45.47,28.78,1031,239.68,1.22,0,0
170,115.92,41.8,28.93,1031,174.73,0.56,0,0
171,128.22,53.78,27.83,1030,175.84,1.43,0,0
172,66.35,57.75,26.63,1030,194.16,1.6,0,0
173,53.64,54.72,26.46,1029,324.11,1.46,0,0
174,80.04,50.09,28.14,1029,325.21,1.56,0,0
175,108.94,49.98,28.49,1029,308.34,1.58,0,0
176,99.26,42.59,29.56,1029,318.03,1.49,0,0
177,101.25,32.28,30.88,1030,268.8,1.28,0,0
178,84.53,23.02,33.8,1030,276.44,1.79,0,0
179,93.78,33.47,31.03,1029,307.61,1.52,0,0
180,97.92,33.86,30.96,1028,278.13,1.57,0,0
181,131.04,46.57,25.26,1026,130.08,1.76,0,0
182,72.23,45.16,29.68,1026,116.98,1.19,0,0
183,90.69,44.67,30.36,1025,107.39,0.98,0,0
184,87.8,40.92,32.04,1025,128.04,0.9,0,0
185,102.52,44.44,31.99,1025,119.24,0.68,0,0
186,133.67,45.56,32.06,1026,127.32,0.79,0,0
187,99.87,40.82,30.9,1026,129.79,1.78,0,0
188,44.28,48.14,29.82,1026,120.62,1.36,0,0
189,49.09,47.41,30.48,1027,122.73,1.59,0,0
190,56.34,62.48,27.67,1027,122.48,1.33,0,0
191,79.61,56.15,29.67,1027,157.13,1.25,0,0
192,64.32,61.27,27.73,1027,101.07,1.79,0,0
193,68.88,48.79,28.27,1027,189.91,1.24,0,0
194,87.55,28.51,30.24,1027,230.86,0.89,0,0
195,76.06,23.2,31.94,1027,269.01,1.09,0,0
196,95.11,33.36,30.86,1027,261.42,0.56,0,0
197,119.05,32.81,32.77,1027,111.07,0.94,0,0
198,108.12,30.03,33.26,1027,177.85,1.15,0,0
199,99.24,22.18,33.86,1027,304.8,1.78,0,0
200,93.13,21.06,34.78,1028,287,1.27,0,0
201,150.84,22.04,34.06,1029,170.69,2.43,0,0
202,159.25,30.8,31.21,1029,303.3,1.55,0,0
203,92.76,21.32,30.73,1030,324.69,1.98,0,0
204,66.57,16.32,31.99,1029,295.3,1.35,0,0
205,76.16,17.49,32.89,1029,262.99,1.12,0,0
206,110.31,17.95,34.2,1029,237.02,0.87,0,0
207,153.28,18.03,35.33,1028,103.51,0.8,0,0
208,118.84,45.15,33.6,1029,126.86,1.63,0,0
209,90.61,44.97,33.99,1030,118.36,1.72,0,0
210,94.36,42.57,34.47,1030,128.19,0.86,0,0
211,74.29,44.41,32.5,1031,165.14,1.44,0,0
212,56.25,56.02,32.19,1032,129.12,2.18,0,0
213,69.17,54.47,31.46,1032,130.75,2.41,0,0
214,42.39,52.77,30.68,1033,131.58,2.38,0,0
215,40.46,54.7,31.8,1033,115.6,1.72,0,0
216,70.5,43.09,34.17,1033,172,0.76,0,0
217,109.14,38.32,33.49,1033,86.54,1.93,0,0
218,101.74,32.78,34.3,1033,169.67,0.81,0,0
219,73.49,40.51,31.23,1033,262.27,1.96,0,0
220,75.95,53.49,29.57,1032,147.01,0.71,0,0
221,81.43,44.51,32.55,1032,226.32,0.77,0,0
222,127.98,35.82,35.29,1032,217.06,0.91,0,0
223,140.43,42.89,35.72,1033,118.21,1.03,0,0
224,79.15,53.18,33.12,1034,114.77,2.66,0,0
225,50.87,50.04,31.15,1033,139.96,1.26,0,0
226,72.31,51.36,33.39,1033,115.29,1.12,0,0
227,84.5,36.49,33.23,1033,235.25,1.39,0,0
228,139.91,30.09,35.03,1032,194.35,1.11,0,0
229,112.65,36.01,34.95,1031,65.91,0.7,0,0
230,121.48,37.06,35.26,1031,177.19,1.14,0,0
231,118.49,18.86,37.39,1030,106.86,1.5,0,0
232,90.67,12.2,37.09,1031,178.3,1.81,0,0
233,105.03,16.12,37.31,1031,190.54,1.11,0,0
234,171.28,27.38,36.76,1032,78.74,0.76,0,0
235,138.2,28.09,36.26,1032,125.66,1.0,0,0
236,101.28,14.61,37.09,1033,266.11,0.94,0,0
237,103.78,14.19,37.87,1034,245.69,0.76,0,0
238,132.37,14.73,38.07,1034,180.7,1.22,0,0
239,151.79,28.98,36.34,1035,76.84,0.82,0,0
240,127.02,34.22,37.22,1035,151.77,1.55,0,0
241,78.01,44.65,35.3,1035,145.97,2.43,0,0
242,89.63,50.55,34.48,1036,158.03,1.58,0,0
243,90.14,54.71,34.47,1036,125.57,2.37,0,0
244,53.12,52.21,32.52,1035,137.58,1.98,0,0
245,54.13,57.78,33.99,1035,117.69,1.6,0,0
246,74.12,52.05,36.14,1035,131.57,2.13,0,0
247,49.01,51.1,36.35,1036,128.61,2.04,0,0
248,56.37,67.07,33.08,1036,71.69,1.58,0,0
249,62.62,56.59,35.68,1036,118.33,1.01,0,0
250,67.26,60.14,35.81,1036,134.43,2.21,0,0
251,0.0,76.22,32.49,1036,138.29,1.91,0,0
252,0.0,67.1,33.67,1035,153.99,0.89,0,0
253,0.0,51.39,36.58,1034,294.89,1.64,0,0
254,0.0,42.05,38.33,1033,287.53,1.65,0,0
255,0.0,35.95,39.04,1033,273.13,2.4,0,0
256,0.0,33.58,38.21,1032,267.87,2.67,0,0
257,0.0,35.69,37.21,1033,230.97,2.27,0,0
258,0.0,53.23,35.25,1033,141.87,1.38,0,0
259,0.0,65.01,32.3,1033,93.75,1.77,0,0
260,0.0,54.98,33.37,1033,199.35,1.29,0,0
261,0.0,54.19,34.24,1033,260.36,1.37,0,0
262,0.0,49.05,36.19,1033,113.22,0.91,0,0
263,0.0,44.23,36.97,1032,118.6,1.0,0,0
264,0.0,42.16,38.2,1031,90.46,0.77,0,0
265,0.0,41.91,37.82,1031,166.57,1.45,0,0
266,0.0,38.56,37.54,1031,208.28,1.36,0,0
267,0.0,39.87,37.76,1030,271.32,1.61,0,0
268,0.0,54.76,34.12,1030,188.67,1.41,0,0
269,0.0,75.02,31.93,1030,135.35,1.49,0,0
270,0.0,77.19,31.21,1030,127.2,1.93,0,0
271,0.0,77.95,32.41,1030,132.23,1.97,0,0
272,0.0,81.12,32.0,1030,141.77,1.5,0,0
273,0.0,72.55,34.09,1031,260.98,1.72,0,0
274,0.0,65.4,34.05,1031,231.76,2.04,0,0
275,0.0,77.68,32.32,1030,98.78,1.15,0,0
276,0.0,74.5,32.64,1029,109.69,1.18,0,0
277,0.0,68.79,32.96,1029,173.11,1.06,0,0
278,0.0,58.85,34.52,1029,233.49,1.31,0,0
279,0.0,54.84,35.13,1029,220.89,1.23,0,0
280,0.0,50.89,36.38,1030,143.68,0.9,0,0
281,0.0,63.88,35.69,1030,136.59,1.58,0,0
282,0.0,71.76,34.44,1032,120.44,1.41,0,0
283,0.0,76.4,32.84,1032,138.12,1.45,0,0
284,0.0,69.91,33.62,1032,149.91,0.74,0,0
285,0.0,83.45,31.03,1033,123.59,0.93,0,0
286,0.0,84.67,30.39,1033,93.23,0.93,0,0
287,0.0,78.21,32.03,1034,129.96,1.08,0,0
288,0.0,83.21,31.89,1034,132.74,1.25,0,0
289,0.0,68.13,33.83,1033,110.65,1.14,0,0
290,0.0,71.09,33.32,1033,83.32,1.48,0,0
291,0.0,70.89,33.24,1033,113.82,1.12,0,0
292,0.0,85.15,31.13,1032,173.61,0.8,0,0
293,0.0,86.52,30.48,1033,126.22,0.72,0,0
294,0.0,93.24,29.57,1032,98.35,0.71,0,0
295,0.0,78.58,31.61,1032,89.29,1.02,0,0
296,0.0,72.93,32.98,1032,93.32,0.7,0,0
297,0.0,84.87,30.95,1033,215.64,1.1,0,0
298,0.0,95.25,28.91,1033,199.9,0.99,0,0
299,0.0,93.35,28.47,1033,137.88,1.12,0,0
300,0.0,87.44,29.37,1031,275.26,1.48,0,0
301,0.0,74.74,32.03,1030,295.46,1.0,0,0
302,0.0,69.09,32.22,1029,268.19,1.25,0,0
303,0.0,65.63,31.9,1028,287.41,1.89,0,0
304,0.0,57.97,33.16,1028,263.22,1.34,0,0
305,0.0,54.35,33.82,1028,273.39,1.85,0,0
306,0.0,52.78,33.45,1028,265.85,2.06,0,0
307,0.0,52.01,33.48,1028,261.37,1.96,0,0
308,0.0,68.62,31.35,1027,214.97,2.57,0,0
309,0.0,85.33,29.28,1027,94.03,1.97,0,0
310,0.0,80.69,30.3,1027,85.97,1.79,0,0
311,0.0,78.91,31.08,1027,102.59,1.96,0,0
312,0.0,69.47,32.69,1026,117.03,2.49,0,0
313,0.0,71.4,32.68,1025,180.14,2.01,0,0
314,0.0,65.51,33.56,1025,260.18,3.27,0,0
315,0.0,74.29,31.34,1025,193.61,2.45,0,0
316,0.0,78.5,31.06,1024,135.18,1.41,0,0
317,0.0,73.88,32.5,1024,140.5,1.52,0,0
318,0.0,70.21,32.18,1023,174.72,2.4,0,0
319,0.0,77.15,31.65,1023,91.36,1.67,0,0
320,0.0,76.22,32.52,1024,103.52,2.46,0,0
321,0.0,79.16,31.67,1024,130.16,2.34,0,0
322,0.0,87.9,30.43,1024,148.4,1.5,0,0
323,0.0,79.26,32.01,1023,118.82,1.7,0,0
324,0.0,73.32,32.41,1023,124.62,1.99,0,0
325,0.0,74.24,32.23,1022,149.74,2.34,0,0
326,0.0,81.66,30.78,1022,248.64,2.57,0,0
327,0.0,71.83,31.72,1022,265.64,2.24,0,0
328,0.0,68.28,31.22,1023,279.44,2.93,0,0
329,0.0,0.0,0.0,1025,None,0.0,0,0
330,0.0,0.0,0.0,1026,None,0.0,0,0
331,0.0,95.6,29.08,1027,88.76,2.87,0,0
332,0.0,88.18,30.05,1029,133.83,2.24,0,0
333,0.0,77.5,31.97,1031,250.47,1.24,0,0
334,0.0,75.69,31.63,1032,262.8,2.05,0,0
335,0.0,89.1,29.08,1033,185.99,1.08,0,0
336,0.0,94.77,28.42,1034,164.2,1.21,0,0
337,0.0,96.58,28.2,1035,97.15,0.78,0,0
338,0.0,87.96,29.17,1035,155.39,1.39,0,0
339,0.0,85.98,29.47,1036,258.54,1.69,0,0
340,0.0,79.66,30.51,1036,258.45,1.73,0,0
341,0.0,84.95,29.41,1036,145.72,1.43,0,0
342,0.0,84.0,29.71,1037,66.92,1.97,0,0
343,0.0,78.79,29.74,1037,142.95,2.43,0,0
344,0.0,79.67,30.06,1038,170.85,1.83,0,0
345,0.0,76.08,31.13,1039,256.05,2.02,0,0
346,0.0,69.03,31.64,1039,264.87,2.6,0,0
347,0.0,60.73,31.73,1039,273.35,2.75,0,0
348,0.0,60.87,31.53,1039,300.44,2.32,0,0
349,0.0,55.67,31.86,1038,303.82,2.52,0,0
350,0.0,59.25,31.83,1037,276.81,2.91,0,0
351,0.0,64.06,31.43,1037,290.2,2.49,0,0
352,0.0,56.65,31.84,1037,309.99,2.54,0,0
353,0.0,56.52,31.56,1036,178.95,1.52,0,0
354,0.0,59.56,31.82,1036,119.2,0.56,0,0
355,0.0,68.16,30.22,1037,137.68,1.44,0,0
356,0.0,87.24,27.51,1037,111.41,1.56,0,0
357,0.0,88.52,28.22,1036,137.05,1.71,0,0
358,0.0,93.84,26.98,1037,187.3,1.44,0,0
359,0.0,91.0,26.05,1036,275.2,1.29,0,0
360,0.0,72.22,29.96,1036,206.06,0.95,0,0
361,0.0,71.78,29.44,1036,183.86,0.7,0,0
362,0.0,61.83,30.77,1036,208.7,0.78,0,0
363,0.0,69.7,29.75,1035,197.45,0.74,0,0
364,0.0,56.57,30.68,1035,287.28,0.86,0,0
